q_id;dataset;db_id;SQL;question;tuples;attrs;attr numerical;attr categorical;tables;numerical conditions;categorical conditions;aggr;join;distinct;group by;limit;order by;nested;like;attr num & cat;con num & cat;cells;backlinks
bird_11;bird;books;SELECT DISTINCT T2.publisher_name FROM book AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.publisher_id WHERE T1.title = 'The Secret Garden';"Who published the book ""The Secret Garden""?";5;1;0;1;2;1;1;0;1;1;0;0;0;0;0;;2;5;-1
bird_12;bird;books;SELECT T1.title FROM book AS T1 INNER JOIN book_author AS T2 ON T1.book_id = T2.book_id INNER JOIN author AS T3 ON T3.author_id = T2.author_id WHERE T3.author_name = 'Hirohiko Araki' AND T1.publication_date = '2006-06-06';Which book by Hirohiko Araki was published on 6/6/2006?;1;1;0;1;3;2;2;0;2;0;0;0;0;0;0;;4;1;-1
bird_13;bird;books;SELECT T1.title FROM book AS T1 INNER JOIN book_author AS T2 ON T1.book_id = T2.book_id INNER JOIN author AS T3 ON T3.author_id = T2.author_id WHERE T3.author_name = 'Tom Clancy';List all books authored by Tom Clancy.;31;1;0;1;3;2;1;0;2;0;0;0;0;0;0;;3;31;-1
bird_14;bird;books;SELECT T1.title FROM book AS T1 INNER JOIN book_author AS T2 ON T1.book_id = T2.book_id INNER JOIN author AS T3 ON T3.author_id = T2.author_id WHERE T3.author_name = 'J.K. Rowling' ORDER BY T1.publication_date ASC LIMIT 1;What is the name of the first book written by J.K Rowling?;1;1;0;1;3;2;1;0;2;0;0;1;1;0;0;;3;1;-1
bird_15;bird;books;SELECT T2.publisher_name FROM book AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.publisher_id WHERE T1.title = 'Hitchhiker''s Guide To The Galaxy: The Filming of the Douglas Adams classic';Who is the publisher of Hitchhiker's Guide To The Galaxy: The Filming of the Douglas Adams classic?;1;1;0;1;2;1;1;0;1;0;0;0;0;0;0;;2;1;-1
bird_16;bird;college_completion;"SELECT state FROM institution_details WHERE chronname = 'Mercer University';";"Which state is ""Mercer University"" located in?";1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;517
bird_17;bird;college_completion;"SELECT city FROM institution_details WHERE chronname = 'Rensselaer Polytechnic Institute';";"Which city is ""Rensselaer Polytechnic Institute"" located in?";1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;518
bird_18;bird;cookbook;SELECT T3.name FROM recipe AS T1 INNER JOIN quantity AS T2 ON T1.recipe_id = T2.recipe_id INNER JOIN ingredient AS T3 ON T3.ingredient_id = T2.ingredient_id WHERE T1.title = 'Strawberry Sorbet';List all the ingredients for Strawberry Sorbet.;3;1;0;1;3;2;1;0;0;0;0;0;0;0;0;;3;3;-1
bird_19;bird;disney;SELECT COUNT(name) as count FROM director WHERE director = 'Wolfgang Reitherman';How many movies did Wolfgang Reitherman direct?;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;;;1;345
bird_20;bird;disney;SELECT COUNT(movie_title) as count FROM characters WHERE SUBSTR(release_date, LENGTH(release_date) - 1, LENGTH(release_date)) BETWEEN '10' AND '16';How many movies were released by Disney between 2010 and 2016?;1;1;1;0;1;2;0;1;0;0;0;0;0;0;0;;;1;379.714286
bird_21;bird;disney;SELECT T1.hero FROM characters AS T1 INNER JOIN director AS T2 ON T2.name = T1.movie_title WHERE T2.director = 'Will Finn';Who is the hero character of the Disney movie directed by Will Finn?;1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_22;bird;disney;SELECT director FROM director WHERE name = 'Wreck-It Ralph';Provide the director's name of Wreck-It Ralph movie.;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;329
bird_23;bird;disney;SELECT T1.hero, T2.director, T1.release_date FROM characters AS T1 INNER JOIN director AS T2 ON T1.movie_title = T2.name WHERE T1.movie_title = 'Mulan';Describe the hero, director, and the release date of Mulan.;1;3;0;3;2;0;2;0;1;0;0;0;0;0;0;;;3;-1
bird_24;bird;disney;SELECT T2.voice_actor FROM characters AS T1 INNER JOIN voice_actors AS T2 ON T2.movie = T1.movie_title WHERE T1.movie_title = 'The Little Mermaid' AND T2.character = T1.hero;Who is the voice actor of the hero character from the movie The Little Mermaid?;1;1;0;1;2;0;3;0;0;0;0;0;0;0;0;;;1;-1
bird_25;bird;disney;SELECT movie FROM voice_actors WHERE voice_actor = 'Jeff Bennett';List the movie titles with the voice actor Jeff Bennet;8;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;8;309.75
bird_26;bird;disney;SELECT T1.movie_title FROM characters AS T1 INNER JOIN director AS T2 ON T1.movie_title = T2.name WHERE T2.director = 'Jack Kinney' AND SUBSTR(T1.release_date, LENGTH(T1.release_date) - 1, LENGTH(T1.release_date)) < '47';List the titles of movies directed by Jack Kinney that were released before 1947.;2;1;0;1;2;1;2;0;1;0;0;0;0;0;0;;3;2;-1
bird_27;bird;disney;SELECT movie_title FROM characters WHERE hero = 'Robin Hood';Which movie is the character Robin Hood in?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;534
bird_28;bird;disney;SELECT T1.director FROM director AS T1 INNER JOIN movies_total_gross AS T2 ON T2.movie_title = T1.name WHERE T2.genre = 'Adventure' AND T2.release_date = 'Mar 30, 2007';Who is the director of the adventure movie which was released on 2007/3/30?;1;1;0;1;2;0;3;0;1;0;0;0;0;0;0;;;1;-1
bird_29;bird;disney;SELECT villian FROM characters WHERE movie_title = 'The Little Mermaid';Who is the villain in The Little Mermaid?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;173
bird_30;bird;disney;SELECT voice_actor FROM voice_actors WHERE character = 'Akela';Which actor voices Akela from The Jungle Book?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;339
bird_31;bird;disney;SELECT T2.director FROM characters AS T1 INNER JOIN director AS T2 ON T1.movie_title = T2.name WHERE T1.song = 'Once Upon a Dream';"The song ""Once Upon a Dream"" is associated with the movie directed by whom?";1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_32;bird;disney;SELECT T1.voice_actor FROM voice_actors AS T1 INNER JOIN characters AS T2 ON T1.movie = T2.movie_title WHERE T2.movie_title = 'The Lion King' AND T1.character = T2.hero;Who is the voice actor of the hero in Lion King?;1;1;0;1;2;0;3;0;1;0;0;0;0;0;0;;;1;-1
bird_33;bird;disney;SELECT villian FROM characters WHERE movie_title = 'Beauty and the Beast';"Who is the villain of the movie ""Beauty and the Beast""?";1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;492
bird_34;bird;disney;SELECT villian FROM characters WHERE movie_title = 'The Great Mouse Detective';"Who is the villain in the movie ""The Great Mouse Detective""?";1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;547
bird_35;bird;mondial_geo;SELECT T1.Islands FROM island AS T1 INNER JOIN mountainOnIsland AS T2 ON T1.Name = T2.Island where t2.mountain ='Rinjani';In which group of islands is Rinjani Mountain located?;1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_36;bird;mondial_geo;SELECT T2.Percentage FROM country AS T1 INNER JOIN encompasses AS T2 ON T1.Code = T2.Country INNER JOIN continent AS T3 ON T3.Name = T2.Continent WHERE T3.Name = 'Asia' AND T1.Name = 'Egypt';What is the area of Egypt as a percentage of Asia?;1;1;1;0;3;0;3;0;2;0;0;0;0;0;0;;;1;-1
bird_37;bird;mondial_geo;SELECT DISTINCT T1.Name FROM country AS T1 INNER JOIN geo_mountain AS T2 ON T1.Code = T2.Country WHERE T2.Mountain = 'Cerro Chirripo';Which country is Mountain Cerro Chirripo located in? Give the full name of the country.;1;1;0;1;2;0;2;0;1;1;0;0;0;0;0;;;1;-1
bird_38;bird;mondial_geo;SELECT T1.Name FROM country AS T1 INNER JOIN province AS T2 ON T1.Code = T2.Country INNER JOIN city AS T3 ON T3.Province = T2.Name WHERE T3.Name = 'Grozny';In which country is the city of Grozny? Give the full name of the country.;1;1;0;1;2;0;3;0;1;0;0;0;0;0;0;;;1;-1
bird_39;bird;mondial_geo;SELECT T3.Name FROM desert AS T1 INNER JOIN geo_desert AS T2 ON T1.Name = T2.Desert INNER JOIN country AS T3 ON T3.Code = T2.Country WHERE T1.Name = 'Kalahari';Which nations have a boundary with the Kalahari Desert?;7;1;0;1;3;0;3;0;2;0;0;0;0;0;0;;;7;-1
bird_40;bird;mondial_geo;SELECT T1.Area, COUNT(T3.Name) as Name FROM continent AS T1 INNER JOIN encompasses AS T2 ON T1.Name = T2.Continent INNER JOIN country AS T3 ON T3.Code = T2.Country WHERE T1.Name = 'Asia' GROUP BY T1.Name, T1.Area;How big is Africa, and how many nations make up the continent?;1;2;2;0;3;0;3;0;2;0;1;0;0;0;0;;;2;-1
bird_41;bird;mondial_geo;SELECT City, Province FROM organization WHERE Name = 'European Bank for Reconstruction and Development';In which city is the European Bank for Reconstruction and Development's headquarters? Please include the city and province where the headquarters are located in your answer.;1;2;0;2;1;0;1;0;0;0;0;0;0;0;0;;;2;171
bird_42;bird;mondial_geo;SELECT Name FROM country WHERE Province = 'Baghdad';Where country does Baghdad belongs to?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;1093
bird_43;bird;mondial_geo;SELECT Name, Height FROM mountain WHERE Mountains = 'Himalaya' ORDER BY Height DESC LIMIT 1;Name the tallest mountain on Himalaya and what is its height.;1;2;1;1;1;0;1;0;0;0;0;1;1;0;0;2;;2;1068
bird_44;bird;mondial_geo;SELECT Length FROM borders WHERE Country1 = 'MEX' AND Country2 = 'USA';What is the border length between 'USA' and 'MEX';1;1;1;0;1;0;2;0;0;0;0;0;0;0;0;;;1;1965
bird_45;bird;mondial_geo;SELECT T2.Independence FROM country AS T1 INNER JOIN politics AS T2 ON T1.Code = T2.Country WHERE T1.Name = 'Bulgaria';When did 'Bulgaria' gain independence?;1;1;0;1;2;0;2;0;0;0;0;0;0;0;0;;;1;-1
bird_46;bird;mondial_geo;SELECT T1.Name FROM desert AS T1 INNER JOIN geo_desert AS T2 ON T1.Name = T2.Desert INNER JOIN country AS T3 ON T3.Code = T2.Country WHERE T3.Name = 'Kazakstan' ORDER BY T1.Area DESC LIMIT 1;Which desert in Kazakhstan is the largest?;1;1;0;1;3;0;3;0;2;0;0;1;1;0;0;;;1;-1
bird_47;bird;mondial_geo;SELECT T1.Area * 100 / T3.Area FROM country AS T1 INNER JOIN encompasses AS T2 ON T1.Code = T2.Country INNER JOIN continent AS T3 ON T3.Name = T2.Continent WHERE T3.Name = 'Asia' AND T1.Name = 'Egypt';What is the area of Egypt as a percentage of Asia?;1;1;1;0;3;0;4;0;2;0;0;0;0;0;0;;;1;-1
bird_48;bird;mondial_geo;SELECT T2.Independence FROM country AS T1 INNER JOIN politics AS T2 ON T1.Code = T2.Country WHERE T1.Name = 'Equatorial Guinea';When did Equatorial Guinea become independent?;1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_49;bird;mondial_geo;SELECT T3.Name FROM country AS T1 INNER JOIN borders AS T2 ON T1.Code = T2.Country1 INNER JOIN country AS T3 ON T3.Code = T2.Country2 WHERE T1.Name = 'Bulgaria';Name all countries in which have border with Bulgaria.;5;1;0;1;2;2;1;0;2;0;0;0;0;0;0;;3;5;-1
bird_50;bird;mondial_geo;SELECT Country FROM language WHERE Name = 'Spanish' AND Percentage = 100;Which nations have a 100% Spanish-speaking population?;5;1;0;1;1;1;1;0;0;0;0;0;0;0;0;;2;5;0
bird_51;bird;mondial_geo;SELECT Name FROM river WHERE Sea = 'Mediterranean Sea' ORDER BY Length DESC LIMIT 1;Please state the longest river that flows to the Mediterranean Sea.;1;1;0;1;1;0;1;0;0;0;0;1;1;0;0;;;1;195
bird_52;bird;mondial_geo;SELECT name FROM country WHERE CODE IN ( SELECT country FROM politics WHERE government = 'British Overseas Territories' );What nations are considered British Overseas Territories?;9;1;0;1;2;0;2;0;0;0;0;0;0;1;0;;;9;939.777778
bird_53;bird;movie;SELECT T2.date_of_birth FROM characters AS T1 INNER JOIN actor AS T2 ON T1.actorid = T2.actorid WHERE T1.character_name = 'Sully';"When is the birthday of the actor who played ""Sully""?";1;1;0;1;2;1;1;0;1;0;0;0;0;0;0;;2;1;-1
bird_54;bird;movies_4;SELECT T3.language_name FROM movie AS T1 INNER JOIN movie_languages AS T2 ON T1.movie_id = T2.movie_id INNER JOIN language AS T3 ON T2.language_id = T3.language_id INNER JOIN language_role AS T4 ON T2.language_role_id = T4.role_id WHERE T4.language_role = 'Original' AND T1.title = 'Four Rooms';"What is the original language of the ""Four Rooms"" movie?";1;1;0;1;4;0;5;0;3;0;0;0;0;0;0;;;1;-1
bird_55;bird;movies_4;SELECT T3.person_name FROM movie AS T1 INNER JOIN movie_cast AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title LIKE 'Pirates of the Caribbean: At World%s End' ORDER BY T2.cast_order LIMIT 1;"Who is the main actor in the ""Pirates of the Caribbean: At World's End"" movie?";1;1;0;1;3;0;3;0;2;0;0;1;1;0;1;;;1;-1
bird_56;bird;movies_4;SELECT T3.person_name FROM movie AS T1 INNER JOIN movie_crew AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title = 'Transformers' AND T2.job = 'Director';Who is the director for the movie 'Transformers?';1;1;0;1;3;0;4;0;2;0;0;0;0;0;0;;;1;-1
bird_57;bird;movies_4;SELECT DISTINCT T1.person_name FROM person AS T1 INNER JOIN movie_cast AS T2 ON T1.person_id = T2.person_id WHERE T2.character_name = 'Optimus Prime (voice)';Which actor plays Optimus Prime?;1;1;0;1;2;0;2;0;1;1;0;0;0;0;0;;;1;-1
bird_58;bird;movies_4;SELECT T3.person_name FROM movie AS T1 INNER JOIN movie_crew AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title LIKE 'Pirates of the Caribbean: At World%s End' AND T2.job = 'Director of Photography';"What is the name of the director of photography of the movie ""Pirates of the Caribbean: At World's End""?";1;1;0;1;3;0;4;0;2;0;0;0;0;0;1;;;1;-1
bird_59;bird;movies_4;SELECT T2.character_name FROM movie AS T1 INNER JOIN movie_cast AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title = 'Pirates of the Caribbean: The Curse of the Black Pearl' AND T3.person_name = 'Orlando Bloom';Which character did Orlando Bloom play in the movie Pirates of the Caribbean: The Curse of the Black Pearl?;1;1;0;1;3;0;4;0;2;0;0;0;0;0;0;;;1;-1
bird_60;bird;movies_4;SELECT T3.person_name FROM movie AS T1 INNER JOIN movie_crew AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title = 'Land of the Dead' AND T2.job = 'Director';"For the movie ""Land of the Dead"", who is its director?";1;1;0;1;3;0;4;0;2;0;0;0;0;0;0;;;1;-1
bird_61;bird;movies_4;SELECT COUNT(T1.movie_id) as movie_id FROM movie AS T1 INNER JOIN movie_cast AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T3.person_name = 'Quentin Tarantino' AND CAST(SUBSTRING(T1.release_date,1,4) AS INT) = 1995;How many movies released in 1995 did Quentin Tarantino appear in?;1;1;1;0;3;1;3;1;2;0;0;0;0;0;0;;4;1;-1
bird_62;bird;olympics;SELECT T1.region_name FROM noc_region AS T1 INNER JOIN person_region AS T2 ON T1.id = T2.region_id INNER JOIN person AS T3 ON T2.person_id = T3.id WHERE T3.full_name = 'Estelle Nze Minko';Where is competitor Estelle Nze Minko from?;1;1;0;1;3;0;3;0;2;0;0;0;0;0;0;;;1;-1
bird_63;bird;olympics;SELECT COUNT(T3.id) as id FROM games AS T1 INNER JOIN games_competitor AS T2 ON T1.id = T2.games_id INNER JOIN person AS T3 ON T2.person_id = T3.id INNER JOIN person_region AS T4 ON T3.id = T4.person_id INNER JOIN noc_region AS T5 ON T4.region_id = T5.id WHERE T1.games_name = '2016 Summer' AND T5.region_name = 'China';How many athlete from China participate in the 2016 Summer Olympics?;1;1;1;0;5;0;6;1;4;0;0;0;0;0;0;;;1;-1
bird_64;bird;olympics;SELECT T3.games_year FROM games_city AS T1 INNER JOIN city AS T2 ON T1.city_id = T2.id INNER JOIN games AS T3 ON T1.games_id = T3.id WHERE T2.city_name = 'Roma';When did Roma host the Olympic Games?;1;1;1;0;3;0;3;0;2;0;0;0;0;0;0;;;1;-1
bird_65;bird;olympics;SELECT T2.city_name FROM games_city AS T1 INNER JOIN city AS T2 ON T1.city_id = T2.id INNER JOIN games AS T3 ON T1.games_id = T3.id WHERE T3.games_year = 1992;Which city were the Olympic games held in 1992?;2;1;0;1;3;1;2;0;2;0;0;0;0;0;0;;3;2;-1
bird_66;bird;olympics;SELECT T2.city_name FROM games_city AS T1 INNER JOIN city AS T2 ON T1.city_id = T2.id GROUP BY T2.id, T2.city_name HAVING COUNT(T1.games_id) >= 3;Which cities hosted at least 3 Olympic games?;2;1;0;1;2;1;2;1;1;0;1;0;0;0;0;;3;2;-1
bird_67;bird;olympics;SELECT T2.city_name FROM games_city AS T1 INNER JOIN city AS T2 ON T1.city_id = T2.id INNER JOIN games AS T3 ON T1.games_id = T3.id WHERE T3.games_name = '1968 Winter';Tell the host city of the 1968 Winter Olympic Games.;1;1;0;1;3;0;3;0;2;0;0;0;0;0;0;;;1;-1
bird_68;bird;university;SELECT T2.country_name FROM university AS T1 INNER JOIN country AS T2 ON T1.country_id = T2.id WHERE T1.university_name = 'Harvard University';Which country is Harvard University in?;1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_69;bird;university;SELECT T2.country_name FROM university AS T1 INNER JOIN country AS T2 ON T1.country_id = T2.id WHERE T1.university_name = 'Harvard University';In which nation is Harvard University located?;1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_70;bird;university;SELECT T2.country_name FROM university AS T1 INNER JOIN country AS T2 ON T1.country_id = T2.id WHERE T1.university_name = 'McMaster University';Which country is McMaster University located in?;1;1;0;1;2;0;2;0;1;0;0;0;0;0;0;;;1;-1
bird_71;bird;university;SELECT university_name FROM university WHERE university_name = 'University of Veterinary Medicine Vienna';Which is the name of the University of Veterinary Medicine Vienna?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;50
bird_72;bird;world;SELECT name FROM country WHERE indepyear = 1994;What country declared its independence in 1994?;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;;;1;816
bird_73;bird;world;SELECT T2.language FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.code = T2.countrycode WHERE T1.name = 'Belgium' AND T2.isofficial = 'T';What are the official languages used in Belgium?;3;1;0;1;2;0;3;0;1;0;0;0;0;0;0;;;3;-1
bird_74;bird;world;SELECT name FROM country WHERE continent = 'Asia';List all the countries in Asia.;51;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;51;1268.94118
bird_75;bird;world;SELECT distinct T2.name FROM country AS T1 INNER JOIN city AS T2 ON T1.code = T2.countrycode WHERE T1.name = 'Philippines' and T1.capital = T2.id;What is the capital city of the Philippines?;1;1;0;1;2;0;3;0;1;1;0;0;0;0;0;;;1;-1
bird_76;bird;world;SELECT T1.language FROM countrylanguage AS T1 INNER JOIN country AS T2 ON T1.countrycode = T2.code WHERE T1.isofficial = 'T' AND T2.name = 'Greece';What are the official languages used in Greece?;1;1;0;1;2;0;3;0;1;0;0;0;0;0;0;;;1;-1
galois_1;galois;flight_2;SELECT call_sign FROM target.usa_airline_companies WHERE airline='jetblue airways';What is the call sign of Airline 'JetBlue Airways'?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;0
galois_2;galois;flight_2;SELECT a.airline FROM target.usa_airline_companies a WHERE a.call_sign='ual';Which airline has call sign 'ual'?;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;1;1406
galois_3;galois;flight_4;SELECT max(elevation_in_ft) as elevation_in_ft FROM target.airports WHERE country = 'Iceland';What is the maximum elevation of all airports in the country of Iceland?;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;;;1;53.4
galois_4;galois;flight_4;SELECT name, city, country, elevation_in_ft FROM airports WHERE city = 'New York';Find the name, city, country, and altitude (or elevation) of the airports in the city of New York.;4;4;1;3;1;0;1;0;0;0;0;0;0;0;0;4;;16;366.5
galois_5;galois;movies;SELECT m.originaltitle FROM target.movie m WHERE m.director='Richard Thorpe';List the title of the movies directed by Richard Thorpe;170;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;170;-3
galois_6;galois;movies;SELECT m.originaltitle FROM target.movie m WHERE m.director='Steven Spielberg';List the title of the movies directed by Steven Spielberg;38;1;0;1;1;0;1;0;0;0;0;0;0;0;0;;;38;-3
galois_7;galois;movies;SELECT m.originaltitle, m.startyear FROM target.movie m WHERE m.director='Richard Thorpe' AND m.startyear > 1950;List the title and year of the movies directed by Richard Thorpe after the 1950;25;2;1;1;1;1;1;0;0;0;0;0;0;0;0;2;2;50;-3
galois_8;galois;movies;SELECT m.originaltitle, m.startyear FROM target.movie m WHERE m.director='Steven Spielberg' AND m.startyear > 2000;List the title and year of the movies directed by Steven Spielberg after the 2000;17;2;1;1;1;1;1;0;0;0;0;0;0;0;0;2;2;34;-3
galois_9;galois;movies;SELECT m.originaltitle, m.startyear, m.genres, m.birthyear FROM target.movie m WHERE m.director='Steven Spielberg' AND m.startyear > 2000;List the title, year, genres and birthyear of the movies directed by Steven Spielberg after the 2000;17;4;2;2;1;1;1;0;0;0;0;0;0;0;0;4;2;68;-3
galois_10;galois;movies;SELECT m.originaltitle, m.startyear, m.genres, m.birthyear, m.deathyear, m.runtimeminutes FROM target.movie m WHERE m.director = 'Steven Spielberg' AND m.startyear > 1990 AND m.startyear < 2000;List the title, year, genres, birthyear, deathyear and runtimeminutes of the movies directed by Steven Spielberg between the 1990 and the 2000;6;6;4;2;1;2;1;0;0;0;0;0;0;0;0;6;3;36;-3
galois_11;galois;movies;SELECT m.startyear, count(*) as numMovies FROM target.movie m WHERE m.director = 'Steven Spielberg' AND m.startyear is not null group by m.startyear;List the year and the number of produced movies in that year directed by Steven Spielberg.;29;2;2;0;1;0;2;1;0;0;1;0;0;0;0;;;58;-2
galois_12;galois;movies;SELECT m.startyear, count(*) as count FROM target.movie m WHERE m.director = 'Tim Burton' group by m.startyear order by count desc limit 1;Return the most prolific year of Tim Burton;1;2;2;0;1;0;1;1;0;0;1;1;1;0;0;;;2;-2
galois_13;galois;spider_geo;SELECT count(capital) as capital FROM usa_state WHERE state_name = 'rhode island';how many capitals does rhode island have;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;;;1;1203
galois_14;galois;spider_geo;SELECT population FROM usa_city WHERE city_name = 'tempe';how many people live in tempe;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;;;1;1551
galois_15;galois;spider_geo;SELECT lake_name FROM usa_lake WHERE state_name = 'california' and area_squared_km > 450;give me the major lakes in california;2;1;0;1;1;1;1;0;0;0;0;0;0;0;0;;2;2;833.5
galois_16;galois;spider_geo;SELECT count(distinct river_name) as river_name FROM usa_river where length_in_km > 400;how many rivers are there in us;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;;;1;396.758389
galois_17;galois;spider_geo;SELECT DISTINCT r.length_in_km FROM usa_river r WHERE r.river_name = 'rio grande';how long is the rio grande river;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;;;1;0
galois_18;galois;spider_geo;SELECT DISTINCT lake_name FROM usa_lake WHERE area_squared_km > 450;name all the lakes of us with area grather than 450;22;1;0;1;1;1;0;0;0;1;0;0;0;0;0;;;22;395.21875
galois_19;galois;spider_geo;SELECT DISTINCT usa_state_traversed FROM usa_river WHERE length_in_km > 750;what states contain at least one river longer than 750;34;1;0;1;1;1;0;1;0;0;0;0;0;0;0;;;34;426.65
galois_20;galois;spider_geo;SELECT lake_name FROM usa_lake WHERE area_squared_km > 750 AND state_name = 'michigan';name the lakes with area grater than 750 located in michigan;5;1;0;1;1;1;1;0;0;0;0;0;0;0;0;;2;5;420.4
galois_21;galois;spider_geo;"SELECT state_name FROM usa_city WHERE city_name = 'austin' AND population > 150000;";which states have a major city named austin;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;;2;1;1782
galois_22;galois;spider_geo;SELECT DISTINCT capital FROM usa_state;name the capitals in the usa;50;1;0;1;1;0;0;0;0;1;0;0;0;0;0;;;50;1434.14
